"title","text","slug","image","altText","video","published","url"
" Summertime loan of 'Sleeping' by John Everett Millais ","From late June, visitors will have the rare opportunity to see in the Museum the Pre-Raphaelite painter John Everett Millais's (b.1829 - d.1896) enchanting painting of his daughter Carrie, asleep, generously on loan from a private collection. Rapturously received by critics when shown at the Royal Academy in 1867, the painting was admired as much for its superb painting of fabrics, textures and naturalistic detail as for its tender representation of childhood.
The painting will hang in Gallery 4 for three months, from the end of June.
A complementary lunchtime talk will be given by Jane Munro on Wednesday 4 July.
 
Image: John Everett Millais, Sleeping (detail).
","summertime-loan-sleeping-john-everett-millais","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Sleeping_crop.jpg?itok=BTst-6wT","Millais's painting of his daughter Carrie asleep",,2018-06-08,"http://www.fitzmuseum.cam.ac.uk/news/summertime-loan-sleeping-john-everett-millais"
"Fitz 3D Challenge ","Medieval wooden sculptures are the focus of a new creative project at the Fitzwilliam Museum.
The 50 sculptures in our collection vary in condition, with some brightly painted, and others stripped of their colours over time. Given very little is known about them - their original appearance, date, provenance and function - the Museum invited Makers around the world to reinvent 6 of the artworks using 3D scans available online from Scan The World (example below).
Makers have been free to reinvent shape, colour, function and context employing a range of technologies in a quest to explore new meanings.
 


 
 
","fitz-3d-challenge","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/MakeSpace%20event%2028-29%20April%20photos%20%282%29_web%20story.jpg?itok=l6_M-oki","Computer art",,2018-05-15,"http://www.fitzmuseum.cam.ac.uk/news/fitz-3d-challenge"
"Special display on Edward Lear ","The Museum has curated a special display from its collection on Edward Lear. Originally conceived to complement a special Cambridge Literary Festival event (now fully booked), we hope that visitors will still enjoy the works on show that include autograph letters, watercolours and drawings (many from his travels).
Look out for the 28th edition of The Book of Nonsense – nonsense rhymes for children printed 24 times in Lear’s lifetime, proof of its popularity. And don’t miss Lear’s grand oil painting of The Temple of Apollo at Bassae, on permanent display in Gallery 2.
The main display can be seen in Gallery 3 from Tuesday 10 – Sunday 22 April.
 
","special-display-edward-lear","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Edward%20Lear_400x250.jpg?itok=SnCvnzPM","Edward Lear landscape",,2018-04-05,"http://www.fitzmuseum.cam.ac.uk/news/special-display-edward-lear"
"Main Entrance closure & building works ","From 4 June the Main Entrance to the Museum will be temporarily closed while scaffolding is being removed.
Inside the Museum, our planned conservation work continues with a major refurbishment programme for the lantern cover, the decoration within the lantern and the elaborate ceiling of Gallery 3 - one of the finest classical structures of its date in existence.
The work will result in Galleries 2 and 3 being closed for the remainder of the year. In addition, Gallery 1 will also have to be closed for short periods of time to help facilitate the programme of works.
 
Please check back here for the most up to date information on progress and closures.
","main-entrance-closure-building-works","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/British%20Art%20Gallery%20%283%29%20%C2%A9%20Damien%20Vickers_400x250.jpg?itok=-gHC-roY","Gallery 3",,2018-04-04,"http://www.fitzmuseum.cam.ac.uk/news/main-entrance-closure-building-works"
"Horse Mannequin dressed and ready to go ","The Armoury’s iconic and well-loved horse mannequin has been dressed in spectacular new parade barding made in early 16th-century German style to match its armour as well as that of the knight, the red and white colours recalling the Fitzwilliam coat-of-arms. Designed and created by Historic Enterprises of Ramona, California, be sure to look out for this splendid new barding, made possible through Marlay Group funding.
View a time-lapse film of the horse being dressed.
 
","horse-mannequin-dressed-and-ready-go","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/horse%20barding_homepage.jpg?itok=QGa4mv0r","Horse barding",,2018-03-23,"http://www.fitzmuseum.cam.ac.uk/news/horse-mannequin-dressed-and-ready-go"
"Easter at the Fitzwilliam ","This Easter enjoy the Fitzwilliam Museum’s new ceramic exhibitions Things of Beauty Growing: British studio pottery and Flux: Parian unpacked. Also on show for Easter are the exhibitions Sampled Lives: samplers from the Fitzwilliam Museum, The Object of My Affection: stories of love from the Fitzwilliam collection, and Designed to Impress. Visit our Current Exhibitions page for more information about our free shows.
Families can discover our collections through a variety of free resources that are available from both entrances to the Museum. Those with babies (0-2 years) can pick up a play mat containing carefully selected resources that connect with themes and objects in the collection. Little ones (2-6 years) can benefit from our Story Starters - pick up a satchel containing a picture book and activities to explore the galleries. Whilst those with 5-12 year olds can complete games and puzzles to journey around the museum with one of our Fitz Kits, or pick up a themed gallery trail on topics such as colour, Egypt, pictures and Shakespeare. A selection of drawing materials are available to borrow at any time. And don’t forget to look out for Easter themed items amongst our permanent displays, including a lovely rabbit tureen (Gallery 26), and paintings from the Easter story (Galleries 6, 7 & 8).
We hope you enjoy visiting the Museum this Easter.
 
","easter-fitzwilliam-1","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Easter%20flowers_400x250.jpg?itok=sCvKQ2gj","Flowers",,2018-03-23,"http://www.fitzmuseum.cam.ac.uk/news/easter-fitzwilliam-1"
"Codebreakers merchandise wins ACE 'Range of the Year' ","The Association for Cultural Enterprises (ACE) name The Fitzwilliam winner of 'Range of the Year' at their Best Product Awards, for Alan Turing's zeta function machine gift range.
The Alan Turing zeta function machine gift range accompanied the 2017 interdisciplinary exhibition 'Codebreakers and Groundbreakers'. It dealt with the period from the late 1930’s to the mid 1940s, when Cambridge scientists and academics worked on cracking equations, ancient languages, and ultimately, breaking the secrets of the German war machine.
In 1939, at King’s College, Cambridge, Alan Turing began to construct a machine to calculate zeta functions in an attempt to solve the Riemann Hypothesis, a famous mathematical problem.  He was assisted in this endeavour by a young Canadian student of engineering, his research partner at King's, Donald MacPhail, who drew the schematic diagram of the machine which was the inspiration for the range.
Together, Turing and MacPhail began to make, by hand, the large number of gear wheels from the drawing which were kept in a suitcase under Turing’s bed. With the outbreak of WWII, the project had to be abandoned. Turing famously went on to build the Bombe, the code-breaking computer which cracked the encryptions of the German Enigma machine at Bletchley Park. MacPhail became an accomplished expert in the field of aerodynamics. No parts of the zeta function machine survive, and the Riemann Hypothesis remains unsolved to this day.
The original drawing, which formed part of the exhibition, was considerably damaged by folding and creasing, and being a dyeline drawing, somewhat blurred. It was digitally restored and painstakingly enhanced to create an intriguing work of art which offered exciting commercial potential. The original is held in the archive of Kings College, who graciously gave their permission, along with Mrs Emma McPhail, for the use of the image.
Cambridge is the British home of mathematics and computing, and as such it was felt the bespoke range would have a product life beyond the exhibition. It will be reintroduced for both the Cambridge Science Fair and Festival of Ideas.
The Fitzwilliam's range brought to the market a previously unpublished, even unknown, material of historical significance, celebrating Britain’s finest scientific minds.
Runners up in “Range of the Year” were the Royal Botanic Gardens, Kew and the Shakespeare’s Birthplace Trust. 
 
","codebreakers-merchandise-wins-ace-range-year","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/BPA%20Logo%20Winner.jpg?itok=i_E6kUJG",,,2018-03-22,"http://www.fitzmuseum.cam.ac.uk/news/codebreakers-merchandise-wins-ace-range-year"
"BBC CIVILISATIONS and the Fitzwilliam ","BBC CIVILISATIONS, is an epic nine part series spanning 31 countries on six continents, and covering more than 500 works of art. The three presenters, Mary Beard, Simon Schama and David Olusoga explore humanity's desire to create.
One of the themes brought out in the BBC series Civilisations is how we look at art. In programme two Mary Beard explores that theme in relation to some of the earliest images of the human body in the world. Included in this episode is footage
of some of the objects from our collection: two Greek vases, and encaustic portraits taken from their original context in ancient Egyptian coffins (partly because they seemed much more appealing out of their perhaps macabre mummy casing).
A special display in Gallery 21, shows how these objects relate to the Civilisations theme, and suggests ways in which the theme can be explored throughout the galleries of Antiquity in the Museum. The display runs until Sunday 6 May.
It is now possible watch the series on BBC iPlayer and to explore the tales of some of the museum's treasures and experience the objects in 3-D with the new BBC AR (augmented reality) app, developed with the expertise of BBC Research and Development.
Features of the BBC app will include:
X-ray - see through or inside an object, such as through a sarcophagus to the mummy within;
Restoration - rub through the layers of history, bringing lustre to a metal chalice or colour to a faded sculpture;
Navigation - browse the exhibition geographically using an AR globe, or thematically via the themes of the series.
","bbc-civilisations-and-fitzwilliam","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/civilisations-branding-colour-1024x577-2.jpg?itok=yR8teggV",,,2018-03-08,"http://www.fitzmuseum.cam.ac.uk/news/bbc-civilisations-and-fitzwilliam"
"Road closures around the Museum from Sunday’s Cambridge half marathon ","This Sunday 4 March the Cambridge half marathon will go through the city from 9.30 and there will be a number of road closures and diversions in place. If you are making your way to the Museum please be aware that surrounding roads may be closed, but the Museum remains open as usual from 12.00 – 17.00, with our free lunchtime music concert taking place at 13.15. For more information about affected roads please see Cambridge Bid’s Cambridge Half Marathon Traffic information
 

Photo: Johannes Hjorth
","road-closures-around-museum-sunday%E2%80%99s-cambridge-half-marathon","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Cambridge%20half%20marathon.jpg?itok=7t3kBMLm","Runners and spectators",,2018-03-02,"http://www.fitzmuseum.cam.ac.uk/news/road-closures-around-museum-sunday%E2%80%99s-cambridge-half-marathon"
"Museum closure - Tuesday 20 February "," 
Due to essential maintenance work on the Fitzwilliam Museum, our offices and switchboard will be closed on Monday 19 and Tuesday 20 February, and our galleries will also be closed to the public on Tuesday 20 February. We apologise for any inconvenience.
Other University of Cambridge Museums are open on Tuesday 20 February, they are as follows:
 
Kettle’s Yard: 11.00 – 17.00
Museum of Archaeology and Anthropology: 10.30 – 16.30
Museum of Classical Archaeology: 10.00 – 17.00 (also open Mon 19 Feb)
Whipple Museum of the History of Science: 12.30 – 16.30  (also open Mon 19 Feb)
Sedgwick Museum of Earth Sciences: 10.00 – 13 .00 & 14.00 – 17.00  (also open Mon 19 Feb)
The Polar Museum: 10.00 – 16.00
Cambridge University Botanic Garden: 10.00 – 17.00 (also open Mon 19 Feb)
Visit the University of Cambridge Museums website for more information.
","museum-closure-tuesday-20-february","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Fitz_Portico_02_201407_dc1_0.jpg?itok=nW2Yfc5N","Musuem Portico",,2018-02-12,"http://www.fitzmuseum.cam.ac.uk/news/museum-closure-tuesday-20-february"
